Accession,Virus Name,Segment
NC_034556.1,Anjozorobe virus,L
NC_034563.1,Anjozorobe virus,M
NC_034555.1,Anjozorobe virus,S
NC_038274.1,Asama virus,M
NC_038273.1,Asama virus,S
NC_034407.1,Bowe virus,L
NC_034406.1,Bowe virus,M
NC_034405.1,Bowe virus,S
NC_034402.1,Bruges virus,L
NC_034395.1,Bruges virus,M
NC_034394.1,Bruges virus,S
NC_131521.1,Carrizal virus,L
NC_118823.1,Carrizal virus,M
NC_118824.1,Carrizal virus,S
NC_038374.1,Choclo virus,M
NC_038373.1,Choclo virus,S
NC_038383.1,Dabieshan virus,M
NC_038384.1,Dabieshan virus,S
NC_038529.1,Eothenomys miletus hantavirus LX309,L
NC_038528.1,Eothenomys miletus hantavirus LX309,M
NC_038530.1,Eothenomys miletus hantavirus LX309,S
NC_034467.1,Fugong virus,L
NC_034466.1,Fugong virus,M
NC_034473.1,Fugong virus,S
NC_038447.1,Hantavirus Fusong-Mf-682,M
NC_038446.1,Hantavirus Fusong-Mf-682,S
NC_006435.1,Hantavirus Z10,L
NC_006437.1,Hantavirus Z10,M
NC_006433.1,Hantavirus Z10,S
NC_034399.1,Jeju virus,L
NC_034404.1,Jeju virus,M
NC_034398.1,Jeju virus,S
NC_034560.1,Kenkeme virus,L
NC_034565.1,Kenkeme virus,M
NC_034559.1,Kenkeme virus,S
NC_034553.1,Maporal virus,L
NC_034552.1,Maporal virus,M
NC_034566.1,Maporal virus,S
NC_043407.1,Necocli virus,L
NC_043408.1,Necocli virus,M
NC_043409.1,Necocli virus,S
NC_003468.2,Orthohantavirus andesense,L
NC_003467.2,Orthohantavirus andesense,M
NC_003466.1,Orthohantavirus andesense,S
NC_043068.1,Orthohantavirus asikkalaense,L
NC_043069.1,Orthohantavirus asikkalaense,M
NC_043070.1,Orthohantavirus asikkalaense,S
NC_038299.1,Orthohantavirus bayoui,L
NC_038300.1,Orthohantavirus bayoui,M
NC_038298.1,Orthohantavirus bayoui,S
NC_034485.1,Orthohantavirus caobangense,L
NC_034474.1,Orthohantavirus caobangense,M
NC_034484.1,Orthohantavirus caobangense,S
NC_034515.1,Orthohantavirus delgaditoense,L
NC_034525.1,Orthohantavirus delgaditoense,M
NC_034528.1,Orthohantavirus delgaditoense,S
NC_005235.1,Orthohantavirus dobravaense,L
NC_005234.1,Orthohantavirus dobravaense,M
NC_005233.1,Orthohantavirus dobravaense,S
NC_005222.1,Orthohantavirus hantanense,L
NC_005219.1,Orthohantavirus hantanense,M
NC_005218.1,Orthohantavirus hantanense,S
NC_034519.1,Orthohantavirus khabarovskense,L
NC_034518.1,Orthohantavirus khabarovskense,M
NC_034527.1,Orthohantavirus khabarovskense,S
NC_034403.1,Orthohantavirus montanoense,L
NC_034397.1,Orthohantavirus montanoense,M
NC_034396.1,Orthohantavirus montanoense,S
NC_038424.1,Orthohantavirus moroense,M
NC_038423.1,Orthohantavirus moroense,S
NC_038506.1,Orthohantavirus negraense,M
NC_038505.1,Orthohantavirus negraense,S
NC_043074.1,Orthohantavirus nigrorivense,L
NC_043073.1,Orthohantavirus nigrorivense,M
NC_043075.1,Orthohantavirus nigrorivense,S
NC_038939.1,Orthohantavirus prospectense,L
NC_038940.1,Orthohantavirus prospectense,M
NC_038938.1,Orthohantavirus prospectense,S
NC_005225.1,Orthohantavirus puumalaense,L
NC_077667.1,Orthohantavirus puumalaense,L
NC_005223.1,Orthohantavirus puumalaense,M
NC_077666.1,Orthohantavirus puumalaense,M
NC_005224.1,Orthohantavirus puumalaense,S
NC_077668.1,Orthohantavirus puumalaense,S
NC_034517.1,Orthohantavirus sangassouense,L
NC_034516.1,Orthohantavirus sangassouense,M
NC_034526.1,Orthohantavirus sangassouense,S
NC_005238.1,Orthohantavirus seoulense,L
NC_005237.1,Orthohantavirus seoulense,M
NC_005236.1,Orthohantavirus seoulense,S
NC_005217.1,Orthohantavirus sinnombreense,L
NC_077671.1,Orthohantavirus sinnombreense,L
NC_005215.1,Orthohantavirus sinnombreense,M
NC_077670.1,Orthohantavirus sinnombreense,M
NC_005216.1,Orthohantavirus sinnombreense,S
NC_077669.1,Orthohantavirus sinnombreense,S
NC_055636.1,Orthohantavirus tatenalense,L
NC_055637.1,Orthohantavirus tatenalense,M
NC_055635.1,Orthohantavirus tatenalense,S
NC_005226.1,Orthohantavirus tulaense,L
NC_005228.1,Orthohantavirus tulaense,M
NC_005227.2,Orthohantavirus tulaense,S
NC_043175.1,Oxbow virus,L
NC_043176.1,Oxbow virus,M
NC_043174.1,Oxbow virus,S
NC_038695.1,Rockport virus,L
NC_038694.1,Rockport virus,M
NC_038696.1,Rockport virus,S
NC_043527.1,Seewis virus,S
NC_055147.1,Tigray virus,L
NC_038705.1,Yakeshi virus,M
NC_038704.1,Yakeshi virus,S
